School;Cohort;Book ID;Topic;Bookclub;User ID;Name;Message;Translation  ;Message Time;Is Answer;Page;Book relevance;Type;Category;CategoryBroad
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1392;MumaD18;Nehi;Stop;2019-06-18 05:21:51 AM;No;4;No;S;CO;C
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1382;MumaD8;bolse je da mi ti poves kdo si ti;It's better if you tell me who you are;2019-06-18 05:22:17 AM;No;4;No;S;IQ;I
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1392;MumaD18;Tara;Tara (girl's name);2019-06-18 05:22:35 AM;No;4;No;A;IA;I
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1382;MumaD8;oooooooooooooooooooooooooooooonnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnneeeeeeeeeeeeeeeeeeeeee;gibberish;2019-06-18 05:22:56 AM;No;4;No;S;O;O
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1392;MumaD18;Ok;Ok;2019-06-18 05:23:14 AM;No;4;No;S;CO;C
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1382;MumaD8;zzzzzzzzzzzzzzzzzzzaaaaaaaaaaaaaaaaaaaaaaakkkkkkkkkkkkkkkkkkkkkaaaaaaaaaaaaaaaaaaaajjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjj;wwwwwwwwwwhhhhhhhyyyyyyyyyyy;2019-06-18 05:23:16 AM;No;4;No;S;O;O
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1398;MumaD24;rekel bi poglej tja in med tem zbezal;he would say look over there and then run;2019-06-18 05:23:36 AM;No;4;Yes;A;DA;D
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1382;MumaD8;vvvvvvvvvvvvvvvvvvvvvvvvvvvttttttttttttttttttttttttttttttttttffffffffffffffffffffffffffffffffffffffffff;wwwwwwwwwwwwtttttttttfffffff;2019-06-18 05:23:58 AM;No;4;No;S;O;O
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1392;MumaD18;Zakaj to pises;Why are you writing this;2019-06-18 05:24:21 AM;No;4;No;S;CO;C
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1382;MumaD8;kdo je mumad24;Who is Mumad24;2019-06-18 05:24:55 AM;No;4;No;Q;IQ;I
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1392;MumaD18;Lahko bi ga ubil;he could kill him;2019-06-18 05:33:31 AM;No;4;Yes;A;DA;D
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1392;MumaD18;Magoce sem postala prevec nasilna??;maybe I have become too violent :(;2019-06-18 05:35:04 AM;No;4;No;S;CO;C
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1382;MumaD8;ja zelo si nasilna;yes you are very violent;2019-06-18 05:36:46 AM;No;4;No;S;CO;C
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1392;MumaD18;Nap is kaj;write something;2019-06-18 05:37:27 AM;No;4;No;S;CE;C
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1382;MumaD8;kaj;what  ;2019-06-18 05:38:20 AM;No;4;No;S;CO;C
OŠ Ketteja in Murna;MumaD;8;Kako bi lahko Cefizelj pobegnil policistu še na drugačen način? / In what other way could Cefizelj get away from the policeman?;Book Club One;1392;MumaD18;No upam da nova v naslednji knigi stupi cav;well I hope we'll be together in the next book bye;2019-06-18 05:39:20 AM;No;4;No;S;CO;C
OŠ Ketteja in Murna;MumaD;12;Kaj meniš, česa vsega bi se Čopko lahko naučil? / What else do you think Čopko could learn?;Book Club One;1382;MumaD8;hus uijkhi;gibberish;2019-06-18 05:45:02 AM;No;12;No;S;O;O
OŠ Ketteja in Murna;MumaD;12;Kaj meniš, česa vsega bi se Čopko lahko naučil? / What else do you think Čopko could learn?;Book Club One;1392;MumaD18;Veliko;a lot;2019-06-18 05:46:43 AM;No;6;Yes;A;DA;D
OŠ Ketteja in Murna;MumaD;12;Kaj meniš, česa vsega bi se Čopko lahko naučil? / What else do you think Čopko could learn?;Book Club One;1392;MumaD18;A je to gregor;is this Gregor;2019-06-18 05:47:03 AM;No;6;No;S;IQ;I
OŠ Ketteja in Murna;MumaD;12;Kaj meniš, česa vsega bi se Čopko lahko naučil? / What else do you think Čopko could learn?;Book Club One;1382;MumaD8;ohč3.hizl i.zzzzu wehrw ebzztdftzdztdtziztdte45wweddfdffffdfbfbdrez5zu rt fg t rtrthfhgfh fthfhfthfthfthfthfthfhfghfthzfrtj gz----awe wawdwawsdawda trrrrea  a daws aadw Aa   wdawsdasdssawwwwwwwwwwe fffff a w awdadawdwdawdawdadjadvjawgdagdhasxbasjkhdkawbkjasgdawghdkaghdkajkgawkgd kagfjhgsfvawgdadjzgfinjzjgujlizuukgguyd jgdtu,ttv76uzfrhtthdhjdftdttttzezgzuuttttzzzrdtdzk ktfgc iluehz weui hsehfiwhf usrhfsiufhweufhwekhsehfkshuefksufh kufhskuhzezhshkeufszehwehzefhsi fhwefefsefsefsfesfeww  sssohgkgghuočg utiloi;gibberish;2019-06-18 05:47:32 AM;No;12;No;S;O;O
OŠ Ketteja in Murna;MumaD;12;Kaj meniš, česa vsega bi se Čopko lahko naučil? / What else do you think Čopko could learn?;Book Club One;1382;MumaD8;ja;yes  ;2019-06-18 05:47:52 AM;No;12;No;S;IA;I
OŠ Ketteja in Murna;MumaD;12;Kaj meniš, česa vsega bi se Čopko lahko naučil? / What else do you think Čopko could learn?;Book Club One;1392;MumaD18;Nehi;stop;2019-06-18 05:48:10 AM;No;6;No;S;CO;C
OŠ Ketteja in Murna;MumaD;12;Kaj meniš, česa vsega bi se Čopko lahko naučil? / What else do you think Čopko could learn?;Book Club One;1382;MumaD8;gn sekhsoiefheiohfioehfehfrehkflwefhliefje  erilčeilzwhreibaeizcsfhsezfzscjsgweuwtrewfasegwegerrrsjhfesgvfkshefjiseifhsuieffnčiejkfsaočejkfw-čkfwefjoisejliwe,;gibberish;2019-06-18 05:49:00 AM;No;12;No;S;O;O
OŠ Ketteja in Murna;MumaD;12;Kaj meniš, česa vsega bi se Čopko lahko naučil? / What else do you think Čopko could learn?;Book Club One;1382;MumaD8;asj,dbfsfuoisurga4iwr0faehfgydlfhkskdfjskjgnsdvfnysjvfnsdk.eglsirhulghsbfjsdr;gibberish;2019-06-18 05:49:14 AM;No;12;No;S;O;O
OŠ Ketteja in Murna;MumaD;12;Kaj meniš, česa vsega bi se Čopko lahko naučil? / What else do you think Čopko could learn?;Book Club One;1392;MumaD18;Zakaj sva vedno sama v pogovoru;why are we always alone in the chat;2019-06-18 05:49:15 AM;No;6;No;Q;CO;C
OŠ Ketteja in Murna;MumaD;12;Kaj meniš, česa vsega bi se Čopko lahko naučil? / What else do you think Čopko could learn?;Book Club One;1382;MumaD8;fortnite;fortnite;2019-06-18 05:49:28 AM;No;12;No;S;CO;C
OŠ Ketteja in Murna;MumaD;12;Kaj meniš, česa vsega bi se Čopko lahko naučil? / What else do you think Čopko could learn?;Book Club One;1382;MumaD8;nevem;i don't know;2019-06-18 05:49:35 AM;No;12;No;A;CO;C
OŠ Ketteja in Murna;MumaD;12;Kaj meniš, česa vsega bi se Čopko lahko naučil? / What else do you think Čopko could learn?;Book Club One;1382;MumaD8;nevem;i don't know;2019-06-18 05:49:56 AM;No;12;No;A;CO;C
OŠ Ketteja in Murna;MumaD;12;Kaj meniš, česa vsega bi se Čopko lahko naučil? / What else do you think Čopko could learn?;Book Club One;1392;MumaD18;Kaj ne ves;what do you not know;2019-06-18 05:50:10 AM;No;6;No;Q;CO;C
OŠ Ketteja in Murna;MumaD;12;Kaj meniš, česa vsega bi se Čopko lahko naučil? / What else do you think Čopko could learn?;Book Club One;1392;MumaD18;A splotches ves kdo sem;do you even know who I am;2019-06-18 05:50:34 AM;No;6;No;Q;IQ;I
OŠ Ketteja in Murna;MumaD;12;Kaj meniš, česa vsega bi se Čopko lahko naučil? / What else do you think Čopko could learn?;Book Club One;1382;MumaD8;<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<;random symbol;2019-06-18 05:50:42 AM;No;12;No;S;O;O
OŠ Ketteja in Murna;MumaD;12;Kaj meniš, česa vsega bi se Čopko lahko naučil? / What else do you think Čopko could learn?;Book Club One;1392;MumaD18;Nehi;stop;2019-06-18 05:51:07 AM;No;6;No;S;CO;C
OŠ Ketteja in Murna;MumaD;12;Kaj meniš, česa vsega bi se Čopko lahko naučil? / What else do you think Čopko could learn?;Book Club One;1382;MumaD8;llllllllllllllllllllllllllllllllllllllllllllllllooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooojjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjj<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<;gibberish;2019-06-18 05:51:49 AM;No;12;No;S;O;O
OŠ Ketteja in Murna;MumaD;12;Kaj meniš, česa vsega bi se Čopko lahko naučil? / What else do you think Čopko could learn?;Book Club One;1392;MumaD18;??;emoji;2019-06-18 05:52:01 AM;No;6;No;S;O;O
OŠ Ketteja in Murna;MumaD;12;Kaj meniš, česa vsega bi se Čopko lahko naučil? / What else do you think Čopko could learn?;Book Club One;1382;MumaD8;tara neni ti;Tara (girl's name) nehi ti;2019-06-18 05:52:05 AM;No;12;No;S;CO;C
OŠ Ketteja in Murna;MumaD;12;Kaj meniš, česa vsega bi se Čopko lahko naučil? / What else do you think Čopko could learn?;Book Club One;1392;MumaD18;Ne napacn;no wrong;2019-06-18 05:52:10 AM;No;6;No;S;CO;C
OŠ Ketteja in Murna;MumaD;12;Kaj meniš, česa vsega bi se Čopko lahko naučil? / What else do you think Čopko could learn?;Book Club One;1382;MumaD8;vem;I know;2019-06-18 05:52:38 AM;No;12;No;S;CO;C
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1382;MumaD8;kaj mislite;what do you think;2019-06-18 04:58:46 AM;No;5;Yes;Q;DE;D
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1382;MumaD8;nevem;I don't know;2019-06-18 04:59:10 AM;No;5;Yes;A;DAA;D
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1382;MumaD8;odgovori;Answer;2019-06-18 05:01:03 AM;No;5;No;S;DE;D
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1398;MumaD24;ker je tako boljzanimivo;Because that's more interesting;2019-06-18 05:01:06 AM;No;5;Yes;A;DA;D
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1382;MumaD8;kaj mislis s tem;What do you mean by that;2019-06-18 05:01:52 AM;No;5;Yes;Q;DQ;D
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1398;MumaD24;ker je;It just is;2019-06-18 05:01:52 AM;No;5;Yes;A;DA;D
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1378;MumaD4;Kako to mislis;What do  you mean;2019-06-18 05:02:14 AM;No;5;Yes;Q;DQ;D
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1382;MumaD8;kdo si ti;Who are you;2019-06-18 05:02:40 AM;No;5;No;Q;IQ;I
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1378;MumaD4;Do jst;who me;2019-06-18 05:03:30 AM;No;5;No;Q;CO;C
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1382;MumaD8;natalia vem da si ti;Natalia (girl's name) I know it's you ;2019-06-18 05:03:32 AM;No;5;No;S;IA;I
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1392;MumaD18;Ker je pisateljica in mora meti domislijo??;Because she is a writer and she has to have imagination;2019-06-18 05:03:46 AM;No;5;Yes;A;DA;D
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1382;MumaD8;kdo si ti;Who are you;2019-06-18 05:04:33 AM;No;5;No;Q;IQ;I
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1378;MumaD4;Ne pa ne.;No it's not;2019-06-18 05:04:37 AM;No;5;No;S;CO;C
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1392;MumaD18;Kaj pomeni do dst netli;What does it mean do dst netli ;2019-06-18 05:04:49 AM;No;5;No;Q;CO;C
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1398;MumaD24;kdo si ti;Who are you;2019-06-18 05:04:55 AM;No;5;No;Q;IQ;I
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1382;MumaD8;ja pa si ti;Yes it is you;2019-06-18 05:05:15 AM;No;5;No;S;IA;I
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1392;MumaD18;Tara;Tara;2019-06-18 05:05:16 AM;No;5;No;S;IA;I
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1378;MumaD4;Ups.Mislila sem kdo jst.;Whoops. I meant who am I ;2019-06-18 05:05:52 AM;No;5;No;S;IQ;I
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1382;MumaD8;vtf;wtf;2019-06-18 05:05:54 AM;No;5;No;S;CO;C
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1378;MumaD4;Kaj;what;2019-06-18 05:06:28 AM;No;5;No;Q;CO;C
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1392;MumaD18;A je to jurij ki  pise kletvice;is this Jurij (boy's name) the one who's writing curse words;2019-06-18 05:06:40 AM;No;5;No;Q;IQ;I
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1398;MumaD24;natalija;Natalija (girl's name);2019-06-18 05:06:51 AM;No;5;No;A;IA;I
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1392;MumaD18;Kaj natalija;Natalija what;2019-06-18 05:07:19 AM;No;5;No;A;CO;C
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1382;MumaD8;ne gregi je;no it's Gregi;2019-06-18 05:07:23 AM;No;5;No;A;IA;I
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1378;MumaD4;Nevem;I don't know;2019-06-18 05:07:35 AM;No;5;No;S;CO;C
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1382;MumaD8;kaj neves;What don't you know;2019-06-18 05:07:57 AM;No;5;No;Q;CO;C
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1398;MumaD24;ne pa ne;No it's not;2019-06-18 05:07:58 AM;No;5;No;S;CO;C
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1382;MumaD8;kdo je muma d24;Who is MumaD24;2019-06-18 05:08:51 AM;No;5;No;Q;IQ;I
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1398;MumaD24;kdo si ti;who are you;2019-06-18 05:08:54 AM;No;5;No;Q;IQ;I
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1382;MumaD8;tara;Tara;2019-06-18 05:09:11 AM;No;5;No;A;IA;I
OŠ Ketteja in Murna;MumaD;15;Sonce in planeti v resnici nimajo občutkov in misli. Zakaj avtorica te zgodbe daje Soncu in planetom misli in občutke?/ The Sun and the planets don't actually have thoughts and feelings. Why did the author of the story give them thoughts and feelings?;Book Club One;1382;MumaD8;gregor;Gregor;2019-06-18 05:09:48 AM;No;5;No;A;IA;I
